1DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME (Year),DIM_SEX,VALUE_NUMERIC (%),VALUE_NUMERIC_LOWER (%),VALUE_NUMERIC_UPPER (%)
288,Ghana,1960,Total,20.83,18.49,23.44
288,Ghana,1960,Female,19.77,17.50,22.39
288,Ghana,1960,Male,21.80,19.30,24.65
324,Guinea,1960,Total,34.95,30.29,40.15
324,Guinea,1960,Female,33.89,29.26,39.06
324,Guinea,1960,Male,35.96,31.00,41.42
270,Gambia,1960,Total,36.18,30.92,42.04
270,Gambia,1960,Female,34.90,29.76,40.90
270,Gambia,1960,Male,37.32,31.82,43.54
300,Greece,1960,Total,4.60,4.50,4.70
300,Greece,1960,Female,4.44,4.34,4.55
300,Greece,1960,Male,4.74,4.63,4.86
308,Grenada,1960,Total,10.15,9.83,10.50
308,Grenada,1960,Female,9.89,9.51,10.30
308,Grenada,1960,Male,10.40,10.00,10.82
320,Guatemala,1960,Total,22.19,19.56,25.18
320,Guatemala,1960,Female,21.49,18.86,24.51
320,Guatemala,1960,Male,22.82,20.03,25.98
328,Guyana,1960,Total,9.20,7.84,10.76
328,Guyana,1960,Female,8.22,6.98,9.65
328,Guyana,1960,Male,10.14,8.61,11.91
340,Honduras,1960,Total,20.86,18.49,23.31
340,Honduras,1960,Female,19.63,17.31,22.11
340,Honduras,1960,Male,22.00,19.47,24.68
332,Haiti,1960,Total,29.04,25.37,33.20
332,Haiti,1960,Female,27.57,23.99,31.58
332,Haiti,1960,Male,30.47,26.59,34.87
348,Hungary,1960,Total,5.41,5.29,5.53
348,Hungary,1960,Female,4.83,4.71,4.95
348,Hungary,1960,Male,5.96,5.82,6.10
360,Indonesia,1960,Total,22.39,20.70,24.14
360,Indonesia,1960,Female,20.91,19.25,22.63
360,Indonesia,1960,Male,23.78,21.94,25.76
356,India,1960,Total,24.28,22.13,26.56
356,India,1960,Female,24.76,22.50,27.21
356,India,1960,Male,23.80,21.58,26.14
372,Ireland,1960,Total,3.53,3.46,3.60
372,Ireland,1960,Female,3.09,3.01,3.17
372,Ireland,1960,Male,3.95,3.86,4.05
368,Iraq,1960,Total,19.06,16.78,21.81
368,Iraq,1960,Female,18.31,16.02,21.10
368,Iraq,1960,Male,19.77,17.33,22.72
352,Iceland,1960,Total,2.15,2.03,2.27
352,Iceland,1960,Female,1.91,1.79,2.05
352,Iceland,1960,Male,2.37,2.23,2.53
376,Israel,1960,Total,4.20,4.11,4.28
376,Israel,1960,Female,4.07,3.97,4.18
376,Israel,1960,Male,4.31,4.20,4.41
380,Italy,1960,Total,5.20,5.10,5.31
380,Italy,1960,Female,4.78,4.68,4.88
380,Italy,1960,Male,5.60,5.49,5.72
388,Jamaica,1960,Total,8.22,7.28,9.45
388,Jamaica,1960,Female,7.56,6.64,8.75
388,Jamaica,1960,Male,8.86,7.81,10.24
400,Jordan,1960,Total,15.52,14.34,16.85
400,Jordan,1960,Female,15.66,14.35,17.06
400,Jordan,1960,Male,15.40,14.17,16.79
392,Japan,1960,Total,3.97,3.89,4.05
392,Japan,1960,Female,3.59,3.52,3.66
392,Japan,1960,Male,4.33,4.24,4.42
404,Kenya,1960,Total,19.72,18.13,21.50
404,Kenya,1960,Female,18.89,17.28,20.69
404,Kenya,1960,Male,20.51,18.81,22.46
296,Kiribati,1960,Total,19.92,18.09,21.93
296,Kiribati,1960,Female,19.02,17.13,21.20
296,Kiribati,1960,Male,20.75,18.69,22.98
410,Republic of Korea,1960,Total,11.19,10.06,12.44
410,Republic of Korea,1960,Female,10.72,9.58,11.98
410,Republic of Korea,1960,Male,11.63,10.41,13.00
414,Kuwait,1960,Total,14.19,11.20,18.23
414,Kuwait,1960,Female,13.76,10.84,17.71
414,Kuwait,1960,Male,14.59,11.48,18.80
422,Lebanon,1960,Total,7.53,6.29,8.89
422,Lebanon,1960,Female,7.15,5.93,8.50
422,Lebanon,1960,Male,7.89,6.54,9.34
430,Liberia,1960,Total,31.28,27.88,35.40
430,Liberia,1960,Female,29.57,26.22,33.59
430,Liberia,1960,Male,32.96,29.24,37.33
434,Libya,1960,Total,27.71,23.20,33.19
434,Libya,1960,Female,27.32,22.74,32.94
434,Libya,1960,Male,28.08,23.44,33.73
662,Saint Lucia,1960,Total,16.41,16.03,16.80
662,Saint Lucia,1960,Female,16.18,15.67,16.69
662,Saint Lucia,1960,Male,16.62,16.14,17.14
144,Sri Lanka,1960,Total,9.39,9.21,9.58
144,Sri Lanka,1960,Female,9.06,8.88,9.25
144,Sri Lanka,1960,Male,9.70,9.51,9.90
426,Lesotho,1960,Total,18.59,17.00,20.25
426,Lesotho,1960,Female,17.65,16.04,19.35
426,Lesotho,1960,Male,19.50,17.75,21.31
442,Luxembourg,1960,Total,3.77,3.56,3.99
442,Luxembourg,1960,Female,3.31,3.10,3.54
442,Luxembourg,1960,Male,4.20,3.95,4.47
504,Morocco,1960,Total,24.17,21.74,26.84
504,Morocco,1960,Female,23.45,21.05,26.17
504,Morocco,1960,Male,24.83,22.29,27.69
484,Mexico,1960,Total,15.52,13.86,17.25
484,Mexico,1960,Female,14.83,13.21,16.60
484,Mexico,1960,Male,16.15,14.37,18.06
584,Marshall Islands,1960,Total,12.13,9.79,14.63
584,Marshall Islands,1960,Female,11.43,9.20,13.88
584,Marshall Islands,1960,Male,12.80,10.30,15.52
470,Malta,1960,Total,4.03,3.88,4.18
470,Malta,1960,Female,3.64,3.47,3.81
470,Malta,1960,Male,4.39,4.21,4.59
478,Mauritania,1960,Total,25.27,22.19,28.82
478,Mauritania,1960,Female,24.18,21.16,27.67
478,Mauritania,1960,Male,26.32,23.06,30.08
500,Montserrat,1960,Total,11.10,9.97,12.34
500,Montserrat,1960,Female,11.18,10.00,12.47
500,Montserrat,1960,Male,11.02,9.87,12.30
480,Mauritius,1960,Total,10.57,10.32,10.81
480,Mauritius,1960,Female,10.13,9.87,10.41
480,Mauritius,1960,Male,10.97,10.70,11.26
458,Malaysia,1960,Total,9.42,8.56,10.37
458,Malaysia,1960,Female,8.82,7.96,9.81
458,Malaysia,1960,Male,9.97,8.97,11.08
558,Nicaragua,1960,Total,19.73,17.20,22.68
558,Nicaragua,1960,Female,18.59,16.10,21.48
558,Nicaragua,1960,Male,20.82,18.11,23.99
570,Niue,1960,Total,9.85,7.60,12.65
570,Niue,1960,Female,9.23,7.08,11.89
570,Niue,1960,Male,10.44,8.06,13.49
528,Netherlands (Kingdom of the),1960,Total,2.08,2.05,2.12
528,Netherlands (Kingdom of the),1960,Female,1.80,1.76,1.84
528,Netherlands (Kingdom of the),1960,Male,2.35,2.31,2.40
578,Norway,1960,Total,2.26,2.21,2.31
578,Norway,1960,Female,1.96,1.90,2.02
578,Norway,1960,Male,2.55,2.48,2.61
524,Nepal,1960,Total,32.47,28.98,36.43
524,Nepal,1960,Female,32.54,28.90,36.65
524,Nepal,1960,Male,32.39,28.84,36.45
554,New Zealand,1960,Total,2.79,2.73,2.85
554,New Zealand,1960,Female,2.45,2.39,2.52
554,New Zealand,1960,Male,3.11,3.04,3.19
512,Oman,1960,Total,37.02,29.00,47.55
586,Pakistan,1960,Total,25.19,22.87,27.69
586,Pakistan,1960,Female,24.96,22.57,27.54
586,Pakistan,1960,Male,25.39,22.98,27.99
591,Panama,1960,Total,9.20,8.19,10.22
591,Panama,1960,Female,8.59,7.59,9.60
591,Panama,1960,Male,9.77,8.66,10.93
604,Peru,1960,Total,22.81,20.94,24.77
604,Peru,1960,Female,21.93,20.04,23.90
604,Peru,1960,Male,23.65,21.63,25.76
608,Philippines,1960,Total,10.21,9.00,11.62
608,Philippines,1960,Female,9.59,8.41,10.94
608,Philippines,1960,Male,10.81,9.47,12.32
598,Papua New Guinea,1960,Total,19.77,17.97,21.86
598,Papua New Guinea,1960,Female,19.04,17.18,21.23
598,Papua New Guinea,1960,Male,20.46,18.45,22.79
616,Poland,1960,Total,6.53,6.38,6.68
616,Poland,1960,Female,5.81,5.67,5.95
616,Poland,1960,Male,7.22,7.05,7.39
620,Portugal,1960,Total,11.44,11.18,11.71
620,Portugal,1960,Female,10.75,10.50,11.01
620,Portugal,1960,Male,12.10,11.82,12.39
600,Paraguay,1960,Total,8.22,7.25,9.24
600,Paraguay,1960,Female,7.68,6.69,8.70
600,Paraguay,1960,Male,8.74,7.69,9.88
642,Romania,1960,Total,8.69,8.46,8.93
642,Romania,1960,Female,8.09,7.87,8.31
642,Romania,1960,Male,9.27,9.02,9.52
646,Rwanda,1960,Total,22.05,19.61,25.06
646,Rwanda,1960,Female,21.04,18.59,23.97
646,Rwanda,1960,Male,23.03,20.39,26.22
729,Sudan,1960,Total,17.74,16.24,19.36
729,Sudan,1960,Female,16.94,15.43,18.57
729,Sudan,1960,Male,18.48,16.86,20.24
686,Senegal,1960,Total,29.56,27.04,32.36
686,Senegal,1960,Female,29.07,26.51,31.97
686,Senegal,1960,Male,30.02,27.34,32.97
702,Singapore,1960,Total,4.77,4.66,4.88
702,Singapore,1960,Female,4.33,4.21,4.45
702,Singapore,1960,Male,5.20,5.06,5.33
90,Solomon Islands,1960,Total,17.10,15.10,19.61
90,Solomon Islands,1960,Female,16.44,14.39,18.92
90,Solomon Islands,1960,Male,17.73,15.55,20.44
694,Sierra Leone,1960,Total,39.02,34.73,43.89
694,Sierra Leone,1960,Female,37.51,33.16,42.38
694,Sierra Leone,1960,Male,40.44,35.86,45.69
222,El Salvador,1960,Total,18.48,16.35,20.74
222,El Salvador,1960,Female,17.51,15.42,19.83
222,El Salvador,1960,Male,19.38,17.09,21.87
728,South Sudan,1960,Total,35.31,26.73,45.57
752,Sweden,1960,Total,1.96,1.92,2.00
752,Sweden,1960,Female,1.68,1.64,1.73
752,Sweden,1960,Male,2.22,2.16,2.27
748,Eswatini,1960,Total,20.89,18.19,24.06
748,Eswatini,1960,Female,19.87,17.17,23.00
748,Eswatini,1960,Male,21.84,18.94,25.29
690,Seychelles,1960,Total,10.46,9.12,11.99
690,Seychelles,1960,Female,10.03,8.69,11.57
690,Seychelles,1960,Male,10.86,9.42,12.50
760,Syrian Arab Republic,1960,Total,16.96,15.33,18.74
760,Syrian Arab Republic,1960,Female,17.10,15.37,18.98
760,Syrian Arab Republic,1960,Male,16.82,15.12,18.69
796,Turks and Caicos Islands,1960,Total,13.75,12.10,15.61
796,Turks and Caicos Islands,1960,Female,12.65,11.08,14.38
796,Turks and Caicos Islands,1960,Male,14.81,13.00,16.85
768,Togo,1960,Total,26.13,23.99,28.62
768,Togo,1960,Female,24.63,22.49,27.13
768,Togo,1960,Male,27.53,25.20,30.31
764,Thailand,1960,Total,14.65,13.48,15.93
764,Thailand,1960,Female,14.06,12.84,15.37
764,Thailand,1960,Male,15.23,13.95,16.64
780,Trinidad and Tobago,1960,Total,6.77,5.82,7.87
780,Trinidad and Tobago,1960,Female,6.32,5.40,7.38
780,Trinidad and Tobago,1960,Male,7.19,6.15,8.38
792,Türkiye,1960,Total,25.72,23.56,28.16
792,Türkiye,1960,Female,24.91,22.72,27.36
792,Türkiye,1960,Male,26.44,24.17,29.10
798,Tuvalu,1960,Total,16.98,14.75,19.57
798,Tuvalu,1960,Female,16.48,14.17,19.27
798,Tuvalu,1960,Male,17.46,15.03,20.25
834,United Republic of Tanzania,1960,Total,24.18,21.38,27.35
834,United Republic of Tanzania,1960,Female,23.29,20.49,26.45
834,United Republic of Tanzania,1960,Male,25.03,22.06,28.36
800,Uganda,1960,Total,22.27,19.39,25.62
800,Uganda,1960,Female,20.95,18.15,24.17
800,Uganda,1960,Male,23.54,20.40,27.19
858,Uruguay,1960,Total,6.35,6.21,6.49
858,Uruguay,1960,Female,5.74,5.59,5.90
858,Uruguay,1960,Male,6.93,6.75,7.11
840,United States of America,1960,Total,3.01,2.96,3.05
840,United States of America,1960,Female,2.62,2.57,2.66
840,United States of America,1960,Male,3.37,3.32,3.43
670,Saint Vincent and the Grenadines,1960,Total,17.47,16.87,18.09
670,Saint Vincent and the Grenadines,1960,Female,17.28,16.60,18.00
670,Saint Vincent and the Grenadines,1960,Male,17.65,16.95,18.37
862,Venezuela (Bolivarian Republic of),1960,Total,7.95,7.04,9.02
862,Venezuela (Bolivarian Republic of),1960,Female,7.32,6.43,8.36
862,Venezuela (Bolivarian Republic of),1960,Male,8.54,7.53,9.72
92,British Virgin Islands,1960,Total,8.36,7.27,9.62
92,British Virgin Islands,1960,Female,6.95,6.02,8.02
92,British Virgin Islands,1960,Male,9.71,8.42,11.19
548,Vanuatu,1960,Total,15.15,12.95,17.83
548,Vanuatu,1960,Female,14.55,12.34,17.30
548,Vanuatu,1960,Male,15.71,13.37,18.60
882,Samoa,1960,Total,10.71,9.40,12.19
882,Samoa,1960,Female,10.13,8.80,11.62
882,Samoa,1960,Male,11.26,9.81,12.89
887,Yemen,1960,Total,42.91,37.06,49.56
894,Zambia,1960,Total,20.45,18.14,23.04
894,Zambia,1960,Female,19.63,17.34,22.26
894,Zambia,1960,Male,21.21,18.73,24.00
716,Zimbabwe,1960,Total,15.11,12.92,17.77
716,Zimbabwe,1960,Female,14.15,12.06,16.70
716,Zimbabwe,1960,Male,16.01,13.67,18.92
4,Afghanistan,1961,Total,35.17,30.14,41.05
784,United Arab Emirates,1961,Total,19.11,14.87,24.66
784,United Arab Emirates,1961,Female,18.18,14.12,23.51
784,United Arab Emirates,1961,Male,19.99,15.53,25.84
28,Antigua and Barbuda,1961,Total,8.04,7.63,8.47
28,Antigua and Barbuda,1961,Female,7.64,7.18,8.13
28,Antigua and Barbuda,1961,Male,8.42,7.93,8.92
36,Australia,1961,Total,2.43,2.38,2.48
36,Australia,1961,Female,2.15,2.10,2.20
36,Australia,1961,Male,2.70,2.64,2.76
40,Austria,1961,Total,4.02,3.93,4.11
40,Austria,1961,Female,3.53,3.44,3.62
40,Austria,1961,Male,4.49,4.38,4.60
56,Belgium,1961,Total,3.24,3.18,3.31
56,Belgium,1961,Female,2.82,2.76,2.89
56,Belgium,1961,Male,3.63,3.56,3.71
204,Benin,1961,Total,30.44,27.91,33.50
204,Benin,1961,Female,29.17,26.61,32.24
204,Benin,1961,Male,31.62,28.90,34.94
854,Burkina Faso,1961,Total,34.22,29.57,38.99
854,Burkina Faso,1961,Female,32.94,28.38,37.73
854,Burkina Faso,1961,Male,35.37,30.54,40.55
50,Bangladesh,1961,Total,25.60,23.63,27.72
50,Bangladesh,1961,Female,25.02,23.00,27.21
50,Bangladesh,1961,Male,26.14,24.04,28.42
100,Bulgaria,1961,Total,4.90,4.79,5.00
100,Bulgaria,1961,Female,4.48,4.33,4.62
100,Bulgaria,1961,Male,5.30,5.14,5.45
48,Bahrain,1961,Total,18.11,15.83,20.74
48,Bahrain,1961,Female,17.90,15.56,20.61
48,Bahrain,1961,Male,18.30,15.93,21.08
68,Bolivia (Plurinational State of),1961,Total,28.44,24.78,32.54
68,Bolivia (Plurinational State of),1961,Female,27.13,23.55,31.08
68,Bolivia (Plurinational State of),1961,Male,29.67,25.82,34.02
76,Brazil,1961,Total,16.52,15.21,17.87
76,Brazil,1961,Female,15.17,13.88,16.58
76,Brazil,1961,Male,17.77,16.27,19.32
52,Barbados,1961,Total,7.84,7.61,8.08
52,Barbados,1961,Female,7.22,6.95,7.49
52,Barbados,1961,Male,8.44,8.15,8.74
96,Brunei Darussalam,1961,Total,11.01,10.47,11.56
96,Brunei Darussalam,1961,Female,10.12,9.57,10.70
96,Brunei Darussalam,1961,Male,11.86,11.23,12.50
72,Botswana,1961,Total,16.10,13.42,19.31
72,Botswana,1961,Female,15.24,12.63,18.36
72,Botswana,1961,Male,16.91,14.01,20.28
140,Central African Republic,1961,Total,27.32,21.86,35.20
140,Central African Republic,1961,Female,26.70,21.35,34.49
140,Central African Republic,1961,Male,27.94,22.31,36.09
124,Canada,1961,Total,3.15,3.10,3.21
124,Canada,1961,Female,2.77,2.71,2.83
124,Canada,1961,Male,3.52,3.46,3.59
756,Switzerland,1961,Total,2.60,2.55,2.65
756,Switzerland,1961,Female,2.24,2.19,2.30
756,Switzerland,1961,Male,2.94,2.87,3.00
152,Chile,1961,Total,14.85,14.47,15.23
152,Chile,1961,Female,13.96,13.59,14.33
152,Chile,1961,Male,15.69,15.29,16.10
384,Côte d'Ivoire,1961,Total,31.04,27.33,35.12
384,Côte d'Ivoire,1961,Female,28.83,25.35,32.77
384,Côte d'Ivoire,1961,Male,33.08,29.06,37.55
120,Cameroon,1961,Total,27.25,24.06,30.80
120,Cameroon,1961,Female,26.17,23.09,29.68
120,Cameroon,1961,Male,28.27,24.87,31.96
178,Congo,1961,Total,18.62,15.88,21.88
178,Congo,1961,Female,17.84,15.08,21.02
178,Congo,1961,Male,19.36,16.47,22.80
184,Cook Islands,1961,Total,10.22,8.63,12.06
184,Cook Islands,1961,Female,11.12,9.37,13.26
184,Cook Islands,1961,Male,9.33,7.84,11.10
170,Colombia,1961,Total,13.05,11.95,14.28
170,Colombia,1961,Female,12.33,11.19,13.58
170,Colombia,1961,Male,13.73,12.50,15.11
132,Cabo Verde,1961,Total,17.97,13.69,23.24
132,Cabo Verde,1961,Female,17.19,13.04,22.27
132,Cabo Verde,1961,Male,18.71,14.20,24.20
188,Costa Rica,1961,Total,9.33,9.16,9.51
188,Costa Rica,1961,Female,8.87,8.67,9.06
188,Costa Rica,1961,Male,9.77,9.57,9.98
192,Cuba,1961,Total,5.21,4.58,5.92
192,Cuba,1961,Female,4.80,4.22,5.47
192,Cuba,1961,Male,5.59,4.91,6.37
212,Dominica,1961,Total,12.59,11.80,13.44
212,Dominica,1961,Female,12.22,11.38,13.13
212,Dominica,1961,Male,12.93,12.05,13.90
208,Denmark,1961,Total,2.44,2.39,2.49
208,Denmark,1961,Female,2.08,2.03,2.14
208,Denmark,1961,Male,2.78,2.72,2.85
214,Dominican Republic,1961,Total,14.61,13.55,15.79
214,Dominican Republic,1961,Female,14.29,13.19,15.51
214,Dominican Republic,1961,Male,14.91,13.77,16.19
12,Algeria,1961,Total,24.08,21.13,27.69
12,Algeria,1961,Female,23.76,20.73,27.43
12,Algeria,1961,Male,24.42,21.28,28.14
218,Ecuador,1961,Total,16.95,14.76,19.55
218,Ecuador,1961,Female,16.00,13.87,18.49
218,Ecuador,1961,Male,17.85,15.47,20.66
818,Egypt,1961,Total,30.78,28.19,33.65
818,Egypt,1961,Female,31.18,28.46,34.15
818,Egypt,1961,Male,30.39,27.79,33.30
724,Spain,1961,Total,5.20,5.10,5.31
724,Spain,1961,Female,4.65,4.56,4.75
724,Spain,1961,Male,5.73,5.62,5.85
246,Finland,1961,Total,2.52,2.48,2.57
246,Finland,1961,Female,2.20,2.15,2.26
246,Finland,1961,Male,2.83,2.77,2.89
242,Fiji,1961,Total,7.51,6.78,8.32
242,Fiji,1961,Female,7.05,6.32,7.84
242,Fiji,1961,Male,7.95,7.13,8.84
250,France,1961,Total,2.70,2.65,2.75
250,France,1961,Female,2.36,2.31,2.41
250,France,1961,Male,3.02,2.96,3.08
583,Micronesia (Federated States of),1961,Total,12.04,10.10,14.41
583,Micronesia (Federated States of),1961,Female,11.14,9.27,13.43
583,Micronesia (Federated States of),1961,Male,12.91,10.76,15.55
266,Gabon,1961,Total,21.66,18.03,27.09
826,United Kingdom of Great Britain and Northern Ireland,1961,Total,2.61,2.56,2.67
826,United Kingdom of Great Britain and Northern Ireland,1961,Female,2.29,2.24,2.34
826,United Kingdom of Great Britain and Northern Ireland,1961,Male,2.92,2.86,2.99
288,Ghana,1961,Total,20.61,18.40,23.05
288,Ghana,1961,Female,19.55,17.38,21.99
288,Ghana,1961,Male,21.59,19.21,24.26
324,Guinea,1961,Total,34.73,30.02,39.96
324,Guinea,1961,Female,33.68,29.03,38.84
324,Guinea,1961,Male,35.69,30.77,41.23
270,Gambia,1961,Total,35.46,30.71,40.77
270,Gambia,1961,Female,34.20,29.46,39.65
270,Gambia,1961,Male,36.58,31.60,42.25
300,Greece,1961,Total,4.52,4.41,4.63
300,Greece,1961,Female,4.32,4.21,4.44
300,Greece,1961,Male,4.70,4.59,4.83
308,Grenada,1961,Total,9.34,9.03,9.68
308,Grenada,1961,Female,9.08,8.72,9.47
308,Grenada,1961,Male,9.59,9.22,9.99
320,Guatemala,1961,Total,21.64,19.34,24.33
320,Guatemala,1961,Female,20.95,18.64,23.65
320,Guatemala,1961,Male,22.27,19.82,25.11
328,Guyana,1961,Total,8.82,7.51,10.32
328,Guyana,1961,Female,7.87,6.68,9.24
328,Guyana,1961,Male,9.73,8.25,11.45
340,Honduras,1961,Total,20.15,18.12,22.33
340,Honduras,1961,Female,18.97,16.93,21.15
340,Honduras,1961,Male,21.29,19.07,23.65
332,Haiti,1961,Total,28.58,25.17,32.41
332,Haiti,1961,Female,27.10,23.78,30.86
332,Haiti,1961,Male,30.01,26.39,34.09
348,Hungary,1961,Total,5.12,4.99,5.24
348,Hungary,1961,Female,4.57,4.45,4.70
348,Hungary,1961,Male,5.63,5.49,5.78
360,Indonesia,1961,Total,21.77,20.21,23.40
360,Indonesia,1961,Female,20.34,18.80,21.94
360,Indonesia,1961,Male,23.12,21.43,24.97
356,India,1961,Total,23.93,21.91,26.04
356,India,1961,Female,24.40,22.29,26.69
356,India,1961,Male,23.47,21.39,25.66
372,Ireland,1961,Total,3.38,3.31,3.46
372,Ireland,1961,Female,2.97,2.89,3.05
372,Ireland,1961,Male,3.77,3.68,3.87
368,Iraq,1961,Total,17.99,15.84,20.49
368,Iraq,1961,Female,17.26,15.11,19.81
368,Iraq,1961,Male,18.66,16.36,21.36
352,Iceland,1961,Total,2.11,1.99,2.24
352,Iceland,1961,Female,1.88,1.75,2.01
352,Iceland,1961,Male,2.33,2.19,2.49
376,Israel,1961,Total,3.96,3.88,4.03
376,Israel,1961,Female,3.81,3.72,3.91
376,Israel,1961,Male,4.09,4.00,4.19
380,Italy,1961,Total,4.99,4.89,5.09
380,Italy,1961,Female,4.56,4.46,4.66
380,Italy,1961,Male,5.39,5.28,5.51
388,Jamaica,1961,Total,7.88,6.99,9.03
388,Jamaica,1961,Female,7.22,6.35,8.34
388,Jamaica,1961,Male,8.51,7.49,9.78
400,Jordan,1961,Total,14.63,13.54,15.83
400,Jordan,1961,Female,14.74,13.56,16.02
400,Jordan,1961,Male,14.51,13.38,15.78
392,Japan,1961,Total,3.62,3.55,3.69
392,Japan,1961,Female,3.24,3.18,3.31
392,Japan,1961,Male,3.98,3.90,4.06
404,Kenya,1961,Total,18.91,17.46,20.55
404,Kenya,1961,Female,18.10,16.61,19.74
404,Kenya,1961,Male,19.70,18.10,21.51
296,Kiribati,1961,Total,19.43,17.64,21.38
296,Kiribati,1961,Female,18.54,16.70,20.60
296,Kiribati,1961,Male,20.25,18.24,22.41
410,Republic of Korea,1961,Total,10.65,9.63,11.79
410,Republic of Korea,1961,Female,10.19,9.15,11.32
410,Republic of Korea,1961,Male,11.09,9.99,12.34
414,Kuwait,1961,Total,13.24,10.69,16.62
414,Kuwait,1961,Female,12.80,10.30,16.13
414,Kuwait,1961,Male,13.63,10.95,17.21
422,Lebanon,1961,Total,7.28,6.17,8.53
422,Lebanon,1961,Female,6.91,5.82,8.15
422,Lebanon,1961,Male,7.63,6.43,8.96
430,Liberia,1961,Total,31.36,28.09,35.23
430,Liberia,1961,Female,29.61,26.40,33.40
430,Liberia,1961,Male,33.00,29.51,37.16
434,Libya,1961,Total,25.93,22.15,30.50
434,Libya,1961,Female,25.54,21.68,30.19
434,Libya,1961,Male,26.28,22.38,31.08
662,Saint Lucia,1961,Total,15.61,15.22,16.00
662,Saint Lucia,1961,Female,15.35,14.85,15.87
662,Saint Lucia,1961,Male,15.84,15.35,16.35
144,Sri Lanka,1961,Total,8.97,8.80,9.14
144,Sri Lanka,1961,Female,8.67,8.50,8.85
144,Sri Lanka,1961,Male,9.25,9.07,9.44
426,Lesotho,1961,Total,18.53,16.97,20.11
426,Lesotho,1961,Female,17.59,16.03,19.24
426,Lesotho,1961,Male,19.41,17.72,21.19
442,Luxembourg,1961,Total,3.57,3.35,3.79
442,Luxembourg,1961,Female,3.13,2.92,3.36
442,Luxembourg,1961,Male,3.98,3.72,4.25
504,Morocco,1961,Total,23.69,21.45,26.17
504,Morocco,1961,Female,23.01,20.78,25.49
504,Morocco,1961,Male,24.32,21.98,26.95
484,Mexico,1961,Total,14.88,13.37,16.48
484,Mexico,1961,Female,14.20,12.71,15.82
484,Mexico,1961,Male,15.51,13.86,17.29
584,Marshall Islands,1961,Total,11.55,9.61,13.56
584,Marshall Islands,1961,Female,10.86,8.99,12.85
584,Marshall Islands,1961,Male,12.21,10.11,14.41
470,Malta,1961,Total,3.82,3.67,3.97
470,Malta,1961,Female,3.46,3.29,3.63
470,Malta,1961,Male,4.16,3.98,4.35
478,Mauritania,1961,Total,24.60,21.70,27.91
478,Mauritania,1961,Female,23.50,20.64,26.79
478,Mauritania,1961,Male,25.63,22.55,29.21
500,Montserrat,1961,Total,10.07,9.18,11.04
500,Montserrat,1961,Female,10.11,9.18,11.13
500,Montserrat,1961,Male,10.02,9.10,11.03
480,Mauritius,1961,Total,9.93,9.67,10.20
480,Mauritius,1961,Female,9.48,9.20,9.77
480,Mauritius,1961,Male,10.37,10.07,10.67
454,Malawi,1961,Total,36.15,28.40,46.77
458,Malaysia,1961,Total,8.80,8.00,9.67
458,Malaysia,1961,Female,8.22,7.41,9.13
458,Malaysia,1961,Male,9.34,8.43,10.34
558,Nicaragua,1961,Total,19.54,17.22,22.23
558,Nicaragua,1961,Female,18.40,16.13,21.02
558,Nicaragua,1961,Male,20.65,18.11,23.57
570,Niue,1961,Total,9.43,7.23,12.25
570,Niue,1961,Female,8.82,6.71,11.46
570,Niue,1961,Male,10.01,7.68,13.09
528,Netherlands (Kingdom of the),1961,Total,2.03,1.99,2.06
528,Netherlands (Kingdom of the),1961,Female,1.74,1.71,1.78
528,Netherlands (Kingdom of the),1961,Male,2.29,2.25,2.34
578,Norway,1961,Total,2.21,2.16,2.25
578,Norway,1961,Female,1.91,1.86,1.96
578,Norway,1961,Male,2.49,2.43,2.55
524,Nepal,1961,Total,32.08,28.73,35.82
524,Nepal,1961,Female,32.16,28.71,36.08
524,Nepal,1961,Male,32.01,28.57,35.87
554,New Zealand,1961,Total,2.69,2.64,2.74
554,New Zealand,1961,Female,2.35,2.29,2.41
554,New Zealand,1961,Male,3.01,2.94,3.08
512,Oman,1961,Total,35.39,28.39,44.33
586,Pakistan,1961,Total,24.29,22.14,26.58
586,Pakistan,1961,Female,24.09,21.87,26.46
586,Pakistan,1961,Male,24.47,22.22,26.87
591,Panama,1961,Total,8.92,7.98,9.89
591,Panama,1961,Female,8.33,7.40,9.29
591,Panama,1961,Male,9.49,8.43,10.60
604,Peru,1961,Total,22.18,20.45,23.98
604,Peru,1961,Female,21.27,19.56,23.09
604,Peru,1961,Male,23.02,21.15,24.96
608,Philippines,1961,Total,9.90,8.74,11.20
608,Philippines,1961,Female,9.28,8.17,10.53
608,Philippines,1961,Male,10.49,9.22,11.90
598,Papua New Guinea,1961,Total,19.17,17.45,21.22
598,Papua New Guinea,1961,Female,18.47,16.64,20.59
598,Papua New Guinea,1961,Male,19.83,17.91,22.13
616,Poland,1961,Total,6.04,5.91,6.17
616,Poland,1961,Female,5.39,5.27,5.51
616,Poland,1961,Male,6.65,6.51,6.80
620,Portugal,1961,Total,11.03,10.79,11.27
620,Portugal,1961,Female,10.35,10.12,10.59
620,Portugal,1961,Male,11.68,11.41,11.95
600,Paraguay,1961,Total,8.15,7.25,9.07
600,Paraguay,1961,Female,7.61,6.72,8.54
600,Paraguay,1961,Male,8.67,7.70,9.70
642,Romania,1961,Total,7.97,7.78,8.17
642,Romania,1961,Female,7.46,7.27,7.65
642,Romania,1961,Male,8.46,8.25,8.67
646,Rwanda,1961,Total,21.58,19.22,24.46
